fork,url,commits_from_user_on_fork,returned,created_at,pushed_at,user
gthompson90/OpenXcom,https://github.com/gthompson90/OpenXcom,0,False,2017-12-01T11:42:47Z,2017-11-09T03:37:31Z,gthompson90
taylorjonl/OpenXcom,https://github.com/taylorjonl/OpenXcom,0,False,2017-12-28T00:24:09Z,2017-12-22T01:43:16Z,taylorjonl
PrincessEve/OpenXcom,https://github.com/PrincessEve/OpenXcom,0,False,2018-01-17T02:48:54Z,2018-01-07T20:29:39Z,PrincessEve
Exaelitus/OpenXcom-macOS,https://github.com/Exaelitus/OpenXcom-macOS,1,False,2018-01-17T17:10:05Z,2020-07-29T17:54:37Z,Exaelitus
harveypekar/OpenXcom,https://github.com/harveypekar/OpenXcom,0,False,2018-01-25T20:44:19Z,2018-01-21T04:10:52Z,harveypekar
MBeijer/OpenXcom,https://github.com/MBeijer/OpenXcom,0,False,2018-02-03T16:14:58Z,2018-01-28T13:43:34Z,MBeijer
qrr/OpenXcom,https://github.com/qrr/OpenXcom,8,False,2018-02-03T19:32:18Z,2020-09-06T16:58:17Z,qrr
andir/OpenXcom,https://github.com/andir/OpenXcom,0,False,2018-02-13T14:19:59Z,2018-02-08T21:35:21Z,andir
RangelReale/OpenXcom,https://github.com/RangelReale/OpenXcom,0,False,2018-02-14T14:07:35Z,2018-02-22T14:32:54Z,RangelReale
DoxaLogosGit/OpenXcom,https://github.com/DoxaLogosGit/OpenXcom,7,True,2018-02-26T20:17:01Z,2019-10-08T19:07:53Z,DoxaLogosGit
phobos2077/OpenXcom,https://github.com/phobos2077/OpenXcom,0,False,2018-03-08T07:03:56Z,2018-03-06T02:26:49Z,phobos2077
ChangeMaker13/OpenXcom,https://github.com/ChangeMaker13/OpenXcom,0,False,2018-03-10T11:41:38Z,2018-03-10T02:37:56Z,ChangeMaker13
RkShaRkz/OpenXcom,https://github.com/RkShaRkz/OpenXcom,1,False,2018-04-01T00:45:14Z,2020-10-09T00:16:57Z,RkShaRkz
