fork,url,commits_from_user_on_fork,returned,created_at,pushed_at,user
pg1337/OpenXcom,https://github.com/pg1337/OpenXcom,0,False,2014-08-22T11:03:46Z,2014-08-22T07:42:28Z,pg1337
ShadowGJ/OpenXcom,https://github.com/ShadowGJ/OpenXcom,3,True,2013-11-02T15:11:23Z,2013-11-02T15:13:02Z,ShadowGJ
JohnVidler/OpenXcom,https://github.com/JohnVidler/OpenXcom,0,False,2012-01-27T22:15:05Z,2012-01-22T15:31:11Z,JohnVidler
gpin/OpenXcom,https://github.com/gpin/OpenXcom,4,True,2011-03-12T10:39:50Z,2011-03-18T13:48:12Z,gpin
lgimberis/OpenXcom,https://github.com/lgimberis/OpenXcom,0,False,2021-03-20T10:40:18Z,2021-03-15T04:56:06Z,lgimberis
alienfood/OpenXcom,https://github.com/alienfood/OpenXcom,9,True,2012-11-26T00:00:40Z,2019-11-04T21:06:17Z,alienfood
myk002/OpenXcom,https://github.com/myk002/OpenXcom,238,True,2013-06-26T02:45:39Z,2021-04-08T22:23:52Z,myk002
pekka-aleksi/OpenXcom,https://github.com/pekka-aleksi/OpenXcom,0,False,2020-12-13T15:44:59Z,2020-12-05T19:34:11Z,pekka-aleksi
wleroux/OpenXcom,https://github.com/wleroux/OpenXcom,0,False,2016-01-02T20:07:12Z,2016-01-03T18:46:12Z,wleroux
kyapp69/OpenXcom,https://github.com/kyapp69/OpenXcom,0,False,2019-10-31T06:57:40Z,2019-10-27T13:49:45Z,kyapp69
Yankes/OpenXcom,https://github.com/Yankes/OpenXcom,573,True,2011-08-20T21:23:59Z,2021-05-16T14:00:03Z,Yankes
Huxellberger/OpenXcom,https://github.com/Huxellberger/OpenXcom,2,False,2018-04-08T17:01:23Z,2018-04-13T17:54:23Z,Huxellberger
lgimberis/OpenXcom,https://github.com/lgimberis/OpenXcom,0,False,2021-03-20T10:40:18Z,2021-03-15T04:56:06Z,lgimberis
knapsu/OpenXcom,https://github.com/knapsu/OpenXcom,11,True,2012-11-21T22:37:38Z,2017-07-19T04:37:28Z,knapsu
ChangeMaker13/OpenXcom,https://github.com/ChangeMaker13/OpenXcom,0,False,2018-03-10T11:41:38Z,2018-03-10T02:37:56Z,ChangeMaker13
