fork,url,commits_from_user_on_fork,returned,created_at,pushed_at,user
junaruga/cpython,https://github.com/junaruga/cpython,0,False,2018-08-23T21:50:02Z,2018-08-26T16:51:35Z,junaruga
carlkl/cpython,https://github.com/carlkl/cpython,0,False,2021-04-16T19:29:34Z,2021-04-16T19:44:27Z,carlkl
sonali18/cpython,https://github.com/sonali18/cpython,0,False,2018-02-18T12:22:53Z,2018-02-18T11:31:23Z,sonali18
Yajieniu/cpython,https://github.com/Yajieniu/cpython,0,False,2017-10-16T19:42:01Z,2017-10-16T18:23:44Z,Yajieniu
hyamy/cpython,https://github.com/hyamy/cpython,0,False,2020-04-11T11:53:29Z,2020-04-11T10:58:37Z,hyamy
daveromana/cpython,https://github.com/daveromana/cpython,0,False,2017-08-29T14:55:16Z,2017-08-29T14:46:24Z,daveromana
chloukhi/cpython,https://github.com/chloukhi/cpython,0,False,2019-07-14T17:04:15Z,2019-07-14T16:43:49Z,chloukhi
Adarshreddyash/cpython,https://github.com/Adarshreddyash/cpython,0,False,2019-01-29T12:14:03Z,2019-01-29T11:06:55Z,Adarshreddyash
nishant-k-sharma/cpython,https://github.com/nishant-k-sharma/cpython,0,False,2020-05-08T09:52:54Z,2020-05-08T09:53:26Z,nishant-k-sharma
jkloth/cpython,https://github.com/jkloth/cpython,6,True,2017-05-09T01:13:36Z,2021-01-11T18:28:31Z,jkloth
SaravanakumarVenkatesan/cpython,https://github.com/SaravanakumarVenkatesan/cpython,0,False,2021-03-04T19:54:31Z,2021-03-04T18:43:12Z,SaravanakumarVenkatesan
Lambda-yhj/cpython,https://github.com/Lambda-yhj/cpython,0,False,2020-05-19T00:33:05Z,2020-05-19T00:32:59Z,Lambda-yhj
bryanamick/cpython,https://github.com/bryanamick/cpython,0,False,2020-06-01T20:06:22Z,2020-06-01T19:40:29Z,bryanamick
GioOsSeRHH/cpython,https://github.com/GioOsSeRHH/cpython,0,False,2020-05-15T00:22:46Z,2020-05-15T00:21:26Z,GioOsSeRHH
molepas/cpython,https://github.com/molepas/cpython,0,False,2021-05-06T15:51:57Z,2021-05-06T15:50:28Z,molepas
BalajiJBcs/cpython,https://github.com/BalajiJBcs/cpython,1,False,2020-06-16T06:17:19Z,2020-08-28T02:36:36Z,BalajiJBcs
P403n1x87/cpython,https://github.com/P403n1x87/cpython,0,False,2021-03-27T13:44:47Z,2021-05-14T22:50:38Z,P403n1x87
addaleax/cpython,https://github.com/addaleax/cpython,0,False,2017-09-17T01:01:06Z,2017-09-16T23:55:12Z,addaleax
ktp-forked-repos/cpython,https://github.com/ktp-forked-repos/cpython,0,False,2019-04-10T22:50:58Z,2019-04-10T22:03:04Z,ktp-forked-repos
Dreeseaw/cpython,https://github.com/Dreeseaw/cpython,0,False,2021-03-08T06:24:13Z,2021-03-08T01:40:25Z,Dreeseaw
ElaCarte/cpython,https://github.com/ElaCarte/cpython,0,False,2020-05-28T16:48:55Z,2020-05-28T16:46:37Z,ElaCarte
Nicolascastro1997/cpython,https://github.com/Nicolascastro1997/cpython,0,False,2020-03-20T20:12:05Z,2020-03-20T17:11:13Z,Nicolascastro1997
PratulGo/cpython,https://github.com/PratulGo/cpython,0,False,2019-10-17T12:51:02Z,2019-10-17T12:51:35Z,PratulGo
johnnoone/cpython,https://github.com/johnnoone/cpython,0,False,2019-12-18T10:12:51Z,2019-12-18T09:28:13Z,johnnoone
cfkgroup/cpython,https://github.com/cfkgroup/cpython,0,False,2017-11-10T19:44:33Z,2017-11-10T16:38:27Z,cfkgroup
zlfc/cpython,https://github.com/zlfc/cpython,0,False,2017-06-22T02:13:52Z,2017-06-22T01:49:19Z,zlfc
Zhouzhouanya/cpython,https://github.com/Zhouzhouanya/cpython,0,False,2019-10-30T05:08:47Z,2019-10-30T00:12:55Z,Zhouzhouanya
subhashreddym/cpython,https://github.com/subhashreddym/cpython,0,False,2017-12-05T13:41:50Z,2017-12-05T12:35:14Z,subhashreddym
sailfish009/cpython,https://github.com/sailfish009/cpython,0,False,2020-12-29T20:53:50Z,2020-12-29T20:38:26Z,sailfish009
vemakereporter/cpython,https://github.com/vemakereporter/cpython,1,False,2019-07-14T03:55:27Z,2019-07-14T03:56:44Z,vemakereporter
MangoFridge/cpython,https://github.com/MangoFridge/cpython,0,False,2019-04-01T10:47:44Z,2019-04-01T09:59:40Z,MangoFridge
lyndon811/cpython,https://github.com/lyndon811/cpython,0,False,2017-08-16T14:27:49Z,2017-08-16T13:36:44Z,lyndon811
doublegrey/cpython,https://github.com/doublegrey/cpython,0,False,2021-02-15T09:06:00Z,2021-02-15T06:28:46Z,doublegrey
userin4o/cpython,https://github.com/userin4o/cpython,0,False,2019-04-28T08:02:19Z,2019-04-28T07:22:37Z,userin4o
EpsilonNet/cpython,https://github.com/EpsilonNet/cpython,0,False,2017-06-05T12:56:39Z,2017-06-05T12:52:45Z,EpsilonNet
EPorti/cpython,https://github.com/EPorti/cpython,0,False,2020-09-30T10:47:21Z,2020-09-30T10:44:16Z,EPorti
lynndotconfig/cpython,https://github.com/lynndotconfig/cpython,0,False,2017-02-14T07:30:40Z,2017-02-14T06:21:00Z,lynndotconfig
vshantam/cpython,https://github.com/vshantam/cpython,0,False,2017-07-21T16:51:58Z,2017-07-21T16:07:51Z,vshantam
kumar1202/cpython,https://github.com/kumar1202/cpython,0,False,2017-06-25T13:59:21Z,2017-06-25T13:48:54Z,kumar1202
AdrianWebster/cpython,https://github.com/AdrianWebster/cpython,0,False,2017-02-16T00:36:06Z,2017-02-16T00:26:01Z,AdrianWebster
