fork,url,commits_from_user_on_fork,returned,created_at,pushed_at,user
Nkzn/expo,https://github.com/Nkzn/expo,0,False,2020-10-01T08:23:52Z,2020-10-01T23:39:31Z,Nkzn
jorgeants/expo,https://github.com/jorgeants/expo,0,False,2019-03-19T17:35:30Z,2019-03-19T16:05:23Z,jorgeants
taroyuyu/expo,https://github.com/taroyuyu/expo,0,False,2021-01-28T01:48:52Z,2021-01-28T01:18:08Z,taroyuyu
murilo-campaner/expo,https://github.com/murilo-campaner/expo,0,False,2020-10-17T03:25:14Z,2020-10-17T00:51:15Z,murilo-campaner
gwendall/expo,https://github.com/gwendall/expo,0,False,2019-03-03T20:32:13Z,2019-03-03T15:29:00Z,gwendall
keima/expo,https://github.com/keima/expo,0,False,2019-11-28T07:51:29Z,2020-09-22T19:00:27Z,keima
Redseb/expo,https://github.com/Redseb/expo,1,False,2020-09-02T07:42:52Z,2020-09-02T08:56:04Z,Redseb
mptorz/expo,https://github.com/mptorz/expo,1,True,2019-02-08T21:31:14Z,2019-02-08T21:44:12Z,mptorz
woles/expo,https://github.com/woles/expo,0,False,2019-05-15T20:48:09Z,2019-05-15T20:50:41Z,woles
Faithfinder/expo,https://github.com/Faithfinder/expo,0,False,2020-09-23T19:49:00Z,2020-09-23T19:45:31Z,Faithfinder
adrianchivu/expo,https://github.com/adrianchivu/expo,0,False,2020-04-22T07:31:15Z,2020-04-22T04:46:25Z,adrianchivu
engrrbilal/expo,https://github.com/engrrbilal/expo,0,False,2020-02-25T13:02:16Z,2020-02-25T12:12:31Z,engrrbilal
weigroup/expo,https://github.com/weigroup/expo,0,False,2020-05-05T23:36:49Z,2020-05-06T00:22:20Z,weigroup
alxyuu/expo,https://github.com/alxyuu/expo,0,False,2019-12-18T06:49:14Z,2019-12-18T00:42:38Z,alxyuu
Dasd1ngo/expo,https://github.com/Dasd1ngo/expo,0,False,2020-05-17T22:04:02Z,2020-05-17T21:36:53Z,Dasd1ngo
laurahomeservenow/expo,https://github.com/laurahomeservenow/expo,0,False,2021-01-11T15:04:59Z,2021-01-11T15:02:51Z,laurahomeservenow
kathawala/expo,https://github.com/kathawala/expo,0,False,2020-04-28T21:34:05Z,2020-09-21T06:39:03Z,kathawala
antoine1anthony/expo,https://github.com/antoine1anthony/expo,0,False,2020-07-09T20:01:30Z,2020-07-09T20:02:11Z,antoine1anthony
ipsum13/expo,https://github.com/ipsum13/expo,0,False,2020-07-18T14:08:42Z,2020-07-18T04:34:39Z,ipsum13
uykalkan/expo,https://github.com/uykalkan/expo,0,False,2020-04-13T21:48:46Z,2020-04-13T21:33:32Z,uykalkan
Piterosik/expo,https://github.com/Piterosik/expo,0,False,2019-08-16T09:29:19Z,2019-08-16T07:50:18Z,Piterosik
rewireltd1/expo,https://github.com/rewireltd1/expo,0,False,2020-08-24T14:49:45Z,2020-08-31T12:57:02Z,rewireltd1
thatguyyoulove/expo,https://github.com/thatguyyoulove/expo,0,False,2020-10-21T03:40:52Z,2020-10-21T04:05:28Z,thatguyyoulove
cubiduongvip/expo,https://github.com/cubiduongvip/expo,0,False,2018-10-08T09:35:29Z,2018-10-08T07:02:19Z,cubiduongvip
laurahomeservenow/expo,https://github.com/laurahomeservenow/expo,0,False,2021-01-11T15:04:59Z,2021-01-11T15:02:51Z,laurahomeservenow
comeoninc/expo,https://github.com/comeoninc/expo,0,False,2019-06-23T12:11:41Z,2019-06-23T02:21:08Z,comeoninc
kamote/expo,https://github.com/kamote/expo,0,False,2019-11-18T08:47:23Z,2019-11-18T08:09:23Z,kamote
Daniel199604/expo,https://github.com/Daniel199604/expo,0,False,2021-05-09T13:00:36Z,2021-05-09T10:04:02Z,Daniel199604
srisuk2519/expo,https://github.com/srisuk2519/expo,0,False,2020-07-31T05:57:41Z,2020-07-31T05:10:02Z,srisuk2519
